"Dernière mise à jour","Type d'entité","Insee (ou Siren) ","SIREN","Nom","Intercommunalité","Territoire","Adhésion TE38","Population totale","Adresse complète","CP","Ville","Téléphone","Mail","Nouvelle entité de rattachement","Collège au comité syndical"
"05/06/2024 09:38:41","Commune",38001,200060127,"Abrets en Dauphiné (Les)","CC Les Vals du Dauphiné",2,"OUI",6695,"1 PLACE ELOI CUCHET",38490,"LES ABRETS EN DAUPHINE","04 76 32 04 80","accueil@les-abrets-en-dauphine.fr",,1
"18/12/2024 16:03:12","Commune",38002,213800022,"Adrets (Les)","CC Le Grésivaudan",9,"OUI",1099,"61 RUE DU CARDELET",38190,"LES ADRETS","04 76 71 06 93","contact@lesadrets.fr",,1
"08/01/2025 10:12:33","Commune",38003,213800030,"Agnin","CC Entre Bièvre et Rhône",3,"OUI",1255,"200 MONTÉE DU VILLAGE",38150,"AGNIN","04 74 84 07 40","mairie.agnin@wanadoo.fr",,1
"08/01/2025 10:12:33","Commune",38004,213800048,"Albenc (L')","CC Saint-Marcellin Vercors Isère Communauté",6,"OUI",1325,"65 RUE DE L'ÉCOLE",38470,"L'ALBENC","04 76 64 74 16","mairie@albenc.fr",,1
"24/05/2024 10:20:54","Commune",38005,213800055,"Allemond","CC de l'Oisans",8,"OUI",957,"5 CHEMIN DES FAURES",38114,"ALLEMOND","04 76 80 70 30","mairie@allemond.fr",,1
"21/03/2024 12:45:06","Commune",38008,213800089,"Ambel","CC de la Matheysine",7,"OUI",32,"40 ROUTE DE LA MAIRIE",38970,"AMBEL","04 76 30 00 47","mairie-de-ambel@alsatis.net",,1
"18/12/2024 16:03:12","Commune",38009,213800097,"Anjou","CC Entre Bièvre et Rhône",3,"OUI",1043,"42 ROUTE DU DAUPHINÉ",38150,"ANJOU","04 74 84 01 17","mairie.anjou@wanadoo.fr",,1
"18/12/2024 16:03:14","Commune",38010,213800105,"Annoisin-Chatelans","CC Les Balcons du Dauphiné",1,"OUI",736,"100 IMPASSE DE LA MAIRIE",38460,"ANNOISIN-CHATELANS","04 74 83 80 76","annoisin-chatelans@wanadoo.fr",,1
"18/12/2024 16:03:14","Commune",38011,213800113,"Anthon","CC Lyon Saint Exupéry en Dauphiné",1,"OUI",1134,"MONTÉE DE LA BARRE",38280,"ANTHON","04 78 32 13 22","contact@mairie-anthon.fr",,1
"05/06/2024 10:04:18","Commune",38012,213800121,"Aoste","CC Les Vals du Dauphiné",2,"OUI",2922,"3 PLACE DE LA MAIRIE",38490,"AOSTE","04 76 31 61 57","accueil@mairie-aoste.org",,1
