"Département","Circonscription","Rne","Secteur","Nom","Voie","Lieu-dit","Boite postale","Code postal","Commune","Téléphone","Fax","Adresse électronique","Site internet","Responsable","Collège de secteur","GPS latitude","GPS longitude","Nb classes","Effectif"
"﻿Isère","VIENNE 2","0381528E","Public","ECOLE PRIMAIRE PUBLIQUE LE VILLAGE","30 rue des Ecoles ",,,38150,"AGNIN",474841234,,"ce.0381528E@ac-grenoble.fr",,"LE DIRECTEUR : MME SAUNIER AURELIE","CLG JEAN FERRAT","45.339476820955","4.8556287825815",6,134
"Isère","GRENOBLE 4 / DSDEN38","0383019A","Public","ECOLE ELEMENTAIRE PUBLIQUE LES ARDOISIERES","55 chemin des écoliers ",,,38114,"ALLEMOND",476805064,,"ce.0383019A@ac-grenoble.fr",,"LE DIRECTEUR : MME PERRON VERONIQUE","CLG DES SIX VALLEES","45.126862109513","6.0353970835901",4,86
"Isère","GRENOBLE 4 / DSDEN38","0381531H","Public","ECOLE MATERNELLE PUBLIQUE LES ARDOISIERES","55 chemin des écoliers ",,,38114,"ALLEMOND",476807072,,"ce.0381531H@ac-grenoble.fr",,"LE DIRECTEUR : MME GOUJON NATHALIE","CLG DES SIX VALLEES","45.132153847641","6.0405983413335",2,45
"Isère","HAUT-GRESIVAUDAN","0381188K","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE SAINT HUGUES","18 avenue Louis Gérin ",,,38580,"ALLEVARD",476451421,476451421,"ce.0381188K@ac-grenoble.fr",,"LE DIRECTEUR : MME BLANCHEMAIN CAMILLE","Aucune information","45.394965876509","6.0746922161426",4,89
"Isère","HAUT-GRESIVAUDAN","0381922H","Public","ECOLE ELEMENTAIRE PUBLIQUE PIERRE RAMBAUD","14 boulevard Jules Ferry ",,,38580,"ALLEVARD",476975462,,"ce.0381922H@ac-grenoble.fr",,"LE DIRECTEUR : MME GAY CAROLLE","CLG FLAVIUS VAUSSENAT","45.39311615413","6.0714948031381",8,183
"Isère","HAUT-GRESIVAUDAN","0381536N","Public","ECOLE MATERNELLE PUBLIQUE","16 rue du Clos ",,,38580,"ALLEVARD",476975457,,"ce.0381536N@ac-grenoble.fr",,"LE DIRECTEUR : MME BOUZON OLIVIA","CLG FLAVIUS VAUSSENAT","45.393596602657","6.070076081465",4,98
"Isère","VIENNE 2","0382081F","Public","ECOLE PRIMAIRE PUBLIQUE","Rue Font Bérard ",,,38150,"ANJOU",474841125,,"ce.0382081F@ac-grenoble.fr",,"LE DIRECTEUR : MME NICOLLET FABIENNE","CLG JEAN FERRAT","45.352250276203","4.8830467541867",3,74
"Isère","PONT DE CHERUY","0381542V","Public","ECOLE PRIMAIRE PUBLIQUE LES LAUZES","354 chemin des Bois ",,,38460,"ANNOISIN-CHATELANS",975861646,,"ce.0381542V@ac-grenoble.fr",,"LE DIRECTEUR : M. DOREL KEVIN","CLG LAMARTINE","45.759857919522","5.2895842859863",3,64
"Isère","PONT DE CHERUY","0381543W","Public","ECOLE PRIMAIRE PUBLIQUE ALBERT OBER","1 montée de la barre ",,,38280,"ANTHON",472023950,,"ce.0381543W@ac-grenoble.fr",,"LE DIRECTEUR : M. LAVEAU GREGORY","CLG LE GRAND CHAMP","45.788644120795","5.1699678129448",5,123
"Isère","VOIRON 2","0381929R","Public","ECOLE ELEMENTAIRE PUBLIQUE LE BOURG","171 rue des Ecoles ",,,38490,"AOSTE",476317491,,"ce.0381929R@ac-grenoble.fr",,"LE DIRECTEUR : MME BODIN PAULINE","CLG LA FORET","45.589045757838","5.6030063116877",9,202
"﻿Isère","VOIRON 2","0382277U","Public","ECOLE MATERNELLE PUBLIQUE LA PEUPLERAIE","129 rue des Ecoles ",,,38490,"AOSTE",476325054,476325054,"ce.0382277U@ac-grenoble.fr",,"LE DIRECTEUR : MME GOUBET FANNY","CLG LA FORET","45.58950105713","5.6051322068841",4,83
"Isère","VOIRON 1","0381213M","Privé sous-contrat","ECOLE ELEMENTAIRE PRIVEE SAINT PIERRE","95 route du Rivier ",,,38140,"APPRIEU",476651510,476651510,"ce.0381213M@ac-grenoble.fr",,"LE DIRECTEUR : MME BLACHE Anne -Chantal","Aucune information","45.397245476215","5.505614225267",4,104
"Isère","VOIRON 1","0381548B","Public","ECOLE ELEMENTAIRE PUBLIQUE SAINT EXUPERY","48 route de Lyon ",,,38140,"APPRIEU",476651063,,"ce.0381548B@ac-grenoble.fr",,"LE DIRECTEUR : MME DEMULE MARIE-PIERRE","CLG LIERS ET LEMPS","45.399571574606","5.502713842268",7,164
"Isère","VOIRON 1","0382659J","Public","ECOLE MATERNELLE PUBLIQUE","355 rue Defrada ",,,38140,"APPRIEU",476651757,,"ce.0382659J@ac-grenoble.fr",,"LE DIRECTEUR : MME REVERDY LAURE","CLG LIERS ET LEMPS","45.398664226045","5.5009850151025",4,81
