"Département","Bassin de formation","Rne","Secteur","Nom","Voie","Lieu-dit","Boite postale","Code postal","Commune","Téléphone","Fax","Adresse électronique","Site internet","Responsable"
"﻿Ardèche","ARDECHE VERTE","0071300A","Public","COLLEGE LA LOMBARDIERE","Rue Jacques Prévert ","QUARTIER LA LOMBARDIERE ",,7100,"ANNONAY",475323970,475320967,"ce.0071300A@ac-grenoble.fr","https://la-lombardiere.ent.auvergnerhonealpes.fr","LE PRINCIPAL : MME PRUVOT MILLET EMMANUELLE
LE PRINCIPAL ADJOINT : MME MONNERON PASCALE
LE GESTIONNAIRE : MME GAILLARD MARION
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC"
"Ardèche","ARDECHE VERTE","0071156U","Public","COLLEGE LES PERRIERES","53 rue EMILE BOUSCHON ",,"BP187",7104,"ANNONAY",475670720,475332712,"ce.0071156U@ac-grenoble.fr","https://college-les-perrieres-annonay.web.ac-grenoble.fr","LE PRINCIPAL : M. BONNEVILLE BERNARD
LE PRINCIPAL ADJOINT : MME BOUR-DORCHAIN SANDRINE
LE GESTIONNAIRE : MME DAFRI HAMAE
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC"
"Ardèche","ARDECHE VERTE","0070059B","Privé sous-contrat","COLLEGE PRIVE NOTRE DAME","10 rue SAUZEAT ",,,7100,"ANNONAY",475324260,475324269,"ce.0070059B@ac-grenoble.fr","https://www.cpnd.fr","LE DIRECTEUR : M. LECA LAURENT
LE DIRECTEUR ADJOINT : MME FRACHISSE FABIENNE
L  ADJOINT AU CHEF D ETABLISSEMENT : M. SERAYET GUY"
"Ardèche","ARDECHE VERTE","0070060C","Privé sous-contrat","COLLEGE PRIVE SAINT BASILE","10 avenue Rosa Parks ",,,7100,"ANNONAY",475334620,475337382,"ce.0070060C@ac-grenoble.fr","http://www.ensemblescolairesaintbasile.fr","LE DIRECTEUR : MME ROBIN STEPHANIE
LE DIRECTEUR ADJOINT : M. FRAISSE DAVID
L  ADJOINT AU CHEF D ETABLISSEMENT : MME VERDIER AMANDINE"
"Ardèche","ARDECHE VERTE","0070001N","Public","LPO LYCEE DES METIERS BOISSY D'ANGLAS","50 avenue Jean Jaurès ",,"CS40127",7104,"ANNONAY",475692550,475333581,"ce.0070001N@ac-grenoble.fr","https://boissy-anglas.ent.auvergnerhonealpes.fr","LE PROVISEUR : M. PINTO DE SOUSA PIERRE
LE PROVISEUR ADJOINT : MME LARROQUE SABINE
LE GESTIONNAIRE : M. DOS SANTOS LUDOVIC
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC"
"Ardèche","ARDECHE VERTE","0071231A","Privé sous-contrat","LYCEE AGRICOLE PRIVE D'ANNONAY","Montée du savel ","MONTEE DU SAVEL         ",,7100,"ANNONAY",475330254,475679512,"annonay@cneap.fr",,"LE DIRECTEUR : MME VIRGINIE VALLEE
L AGENT COMPTABLE : M. VIALLARON "
"Ardèche","ARDECHE VERTE","0071126L","Privé sous-contrat","LYCEE GENERAL ET TECHNOL PR SAINT DENIS","1 chemin DE LA MUETTE ",,"CS40154",7101,"ANNONAY",475692800,475692801,"ce.0071126L@ac-grenoble.fr","http://www.lyceesaintdenis.com/","LE DIRECTEUR : M. HAUBERDON FRANCOIS
LE DIRECTEUR ADJOINT : M. TEYSSIER PIERRE HENRI"
"﻿Ardèche","ARDECHE VERTE","0070002P","Public","LYCEE PROFESSIONNEL JOSEPH ET ETIENNE MONTGOLFIER","17 rue DU CAPITAINE DE CANSON ",,,7100,"ANNONAY",475324150,475324151,"ce.0070002P@ac-grenoble.fr","http://montgolfier.elycee.rhonealpes.fr","LE PROVISEUR : MME REBOULET MARIE-LAURE
LE GESTIONNAIRE : MME MAIGNANT LYDIA
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC"
"Ardèche","ARDECHE VERTE","0070100W","Privé sous-contrat","LYCEE PROFESSIONNEL PRIVE MARC SEGUIN","1 avenue Rosa Parks ",,,7100,"ANNONAY",475324050,475324059,"ce.0070100W@ac-grenoble.fr","http://lyceemarcseguin.eu","LE DIRECTEUR : M. FERRAND DAVID
LE DIRECTEUR ADJOINT : M. ROZE ARNAUD"
"Ardèche","ARDECHE VERTE","0071157V","Public","SEGPA CLG LES PERRIERES","53 rue EMILE BOUSCHON ",,"BP187",7104,"ANNONAY",475670720,475332712,"ce.0071157V@ac-grenoble.fr","http://www.ac-grenoble.fr/college/annonay.perrieres","LE PRINCIPAL : M. BONNEVILLE BERNARD
LE PRINCIPAL ADJOINT : MME FAVIER AGNES
LE GESTIONNAIRE : MME DAFRI HAMAE
L AGENT COMPTABLE : M. DOS SANTOS LUDOVIC"
